"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1233089";"28/11/2024";"#156";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 10:11";"26/02/2025 10:11";"13/03/2025 11:00"
"1.1233072";"28/11/2024";"#155";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 09:58";"26/02/2025 09:58";"13/03/2025 10:59"
"1.1233060";"27/11/2024";"#154";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 09:50";"26/02/2025 09:50";"13/03/2025 10:58"
"1.1233025";"23/11/2024";"#153";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"26/02/2025 09:27";"26/02/2025 09:27";"13/03/2025 10:54"
"1.1232851";"19/11/2024";"#151";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 18:51";"25/02/2025 18:51";"13/03/2025 10:46"
"1.1232383";"21/11/2024";"#152";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 12:21";"25/02/2025 12:21";"13/03/2025 10:27"
"1.1232301";"15/11/2024";"#150";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 11:22";"25/02/2025 11:22";"13/03/2025 10:24"
"1.1232273";"14/11/2024";"#148";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 11:08";"25/02/2025 11:08";"13/03/2025 10:24"
"1.1232266";"10/11/2024";"#147";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 11:03";"25/02/2025 11:03";"13/03/2025 10:23"
"1.1232249";"10/11/2024";"#146";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 10:55";"25/02/2025 10:55";"13/03/2025 10:23"
